idx	offset	len	original_en	translation_zh	notes
0	0x0200	7	Objects	物品
72	0x4314	262	Sixth Seal\rSuspended on a chain, the\rSixth Seal is one of five\rsuch amulets that is said to\rhave mystical powers.  The\rSixth is markedly different\rin that it has a key-like\rextrusion at its top which\rallows it to open locks that\rhave been made by the Geal\rA'nai.	第六印\r以鏈條垂掛，第六印\r是傳說具有神秘力量\r的五件護符之一。第\r六印明顯不同之處在\r於頂端有類似鑰匙的\r凸起，可開啟 Geal A'nai\r所製的鎖。
73	0x441C	214	President's Amulet\rTraditionally passed from one\rTorm to the next, the amulet\ris now a symbol of the\rrightful leader of the\rAlgiebian people. Many\rreligious leaders say that\rthe amulet grants its bearer\rgreat luck.	總統的護符\r傳統上由前後任 Torm\r相傳，此護符如今是\r阿吉比安人正統領導\r者的象徵。許多宗教\r領袖稱此護符能賜給\r持有者好運。
74	0x44F4	146	Security Card\rStriped with a bar code on\rthe back, this card allows a\rbearer to enter any door on\rthe Presidential Station in\rorbit of Algieba IV.	安全卡\r背面有條碼，此卡可\r讓持有者進入阿吉比\r安四號軌道上總統艦\r站的任一道門。
75	0x4588	258	Algiebian Tal\rThe primary unit of monetary\rexchange within the confines\rof the Algiebian Empire, the\rTal is made of solid gold.\rDespite the inflation that\rruns rampant in the sector,\rthe Tal may still be used for\rthe purchase of wines and\rother necessities. 	阿吉比安泰爾\r阿吉比安帝國境內的\r主要貨幣單位，泰爾\r由純金鑄成。儘管星\r區內通膨猖獗，泰爾\r仍可用於購買酒類及\r其他必需品。
76	0x468C	102	Visitor Badge\rGrants to the bearer\rvisitation rights to the\rSabik Mining Colony in Sector\rKornephoros.	訪客徽章\r給予持有者參訪庫尼\r弗洛斯星區 Sabik 礦業\r殖民地的權利。
77	0x46F4	172	Industrial Badge\rThis card identifies the\rholder as a trading agent for\rthe Sabik Mining Colony.\rAllows greater visitation\rrights than those granted by\rthe Visitor's Badge.	工業徽章\r此卡證明持有者為 Sabik\r礦業殖民地的貿易代\r理人。比訪客徽章授\r予更大的參訪權限。
78	0x47A2	276	Sector Clearance Card\rThe Sector Clearance Card is\rmade of a crystaline material\rpermeated with gossamer veins\rof green conduit.  It contains\rall the information necessary\rto fool the communication\rcomputers on Eltanin VII thus\rallowing you authorized access\rfor terminal use.	星區通行卡\r星區通行卡由結晶材\r質製成，內部布滿綠\r色細絲導管。包含足\r以騙過 Eltanin VII 通訊\r電腦的全部資訊，使\r你獲得使用終端機的\r授權存取。
79	0x48B8	174	Skocha Roots\rAn odd clump of vegetable\rmatter, these roots have a\rmild juice in them that is\rusually consumed by Danteans\rto shield them from the\reffects of severe radiation.	Skocha 根\r一團奇怪的植物，此\r根含有溫和的汁液，\rDantean 人常飲用以保\r護自身免受強烈輻射\r影響。
80	0x4968	140	Pikor\rA mining implement, the Pikor\ris used on several colonies\rin the local group.  A good\rtool for removing boulders\rthat block your path.	皮可鏟\r一種採礦工具，皮可\r鏟在本群域多處殖民\r地使用。是清除擋路\r巨石的好工具。
81	0x49F6	173	Bag Of Diamonds\rA common form of galactic\rexchange, there appear to be\rseveral diamonds of value in\rthis bag.  They are\respecially favored by the\rEthnys and Utreceian races.	一袋鑽石\r星際間的通用交易媒\r介，這袋中似有數顆\r具價值的鑽石。Ethnys\r與 Utreceian 族尤其偏好。
82	0x4AA5	160	Blast Wear\rMade to protect the wearer\rfrom intense heat and\renvironmental conditions,\rblast wear is a necessary\ritem for people to wear on\rthe surface of Sabik.	防爆服\r為保護穿戴者免受高\r熱與環境影響而設計，\r防爆服是人們在 Sabik\r表面活動的必備裝備。
83	0x4B47	119	Infra Specs\rDesigned to make infra\rencoded messages visible,\rthese goggles are commonly\rused in the Kornephoros\rsector.	紅外線眼鏡\r為將紅外線編碼訊息\r轉為可見而設計，此\r護目鏡常用於庫尼弗\r洛斯星區。
84	0x4BC0	149	Prong\rThis peculiar object appears\rto have been broken off of\rsome larger object.  Whatever\rfunction it once served, it\rwould seem to be useless now.	尖叉\r這個奇怪的物品似乎\r是從更大的物品上斷\r落的。不論它曾有何\r功用，現在看來毫無\r用處。
85	0x4C57	192	Doorspiker\rThis triple pronged key was\rspecially made to fit the\rhands of the Dantean race. An\rinscription code on the\rhandle of the key suggests\rthat it unlocks a door on\rSabik Mining Colony.	門鎖鑽\r此三叉鑰匙特別為配\r合 Dantean 族的手而製。\r鑰匙柄上的銘刻碼暗\r示它可開啟 Sabik 礦業\r殖民地的某道門。
86	0x4D19	234	ComNav Sq 2345-8.\rThe design of this electronic\rpart would seem to suggest\rthat it is used as a warp\rfield stabilizer for cargo\rclass ships. Although it is\runsuitable for Earth designs,\rit might have value to\rtraders in Sector Caroli.	ComNav Sq 2345-8\r此電子零件的設計顯\r示它用作貨運級船艦\r的曲速場穩定器。雖\r然不適用地球設計，\r但對 Caroli 星區的商\r人或許有價值。
87	0x4E05	213	Gold Wire\rFused at the ends, this\rbroken piece of wire may have\rmelted loose from a larger\rsection of cable. If it is\rused to reconnect the circuit\rit once serviced, it might\rdistract any Microtic\ractivity nearby.	金線\r兩端熔合，此斷線可\r能是從較大段電纜上\r熔斷脫落。若用以重\r新接通它曾屬之電路，\r或能擾亂附近的微體\r活動。
88	0x4EDC	194	Logic Circuit Alpha\rThis circuit is the main\rcontrol gate for the\roperation of a Gravitic\rCompressor. If a Beta class\rcircuit is swapped for it, it\rmay cause a reversal of the\rcompression field.	阿爾法邏輯電路\r此電路為重力壓縮器\r運作的主控閘。若以\r貝塔級電路替換，可\r能造成壓縮場反轉。
89	0x4FA0	176	Logic Circuit Beta\rThis circuit, when used as a\rsecondary circuit, controls\rminor logic functions. When\rplaced in an Alpha Logic\rtower, it will reverse a\rminiaturization field.	貝塔邏輯電路\r此電路作為次級電路\r時控制次要邏輯功能。\r若置入阿爾法邏輯塔\r中，將反轉微型化場。
90	0x5052	169	Strand Viewer\rIf used on Ominar strandware,\rthis device can allow close\rscrutiny of the condition of\rthe material.  It is commonly\rused to sort good strandware\rfrom bad.	鏈件檢視器\r若用於 Ominar 鏈件，\r此裝置可近距離檢視\r材料狀態。常用於分\r辨良品與劣品。
91	0x50FD	199	Gravitic Compressor\rOne of the eight vital parts\rto the Centauri Device, the\rGravitic Compressor is used\ras the focusing device for\rthe titanic forces that are\rgenerated when the K-Beam is\ractivated.	重力壓縮器\r半人馬裝置八件關鍵\r零件之一，重力壓縮\r器用作 K 光束啟動時\r所生巨大力量的聚焦\r裝置。
92	0x51C6	264	Requisition Form\rSigned by the chief\rcontroller of the Harvest\rtraffic controller team, this\rrequisition form is filled\rout to the chief engineer of\rOortizam Labs. It still\rappears to need a proper\rcounter signature from the\rOminarian director of the\rOortizam Lab.	申請單\r由 Harvest 交通管制隊的\r首席管制員簽署，這份\r申請單填給 Oortizam 實\r驗室的總工程師。但仍\r需 Oortizam 實驗室的\rOminarian 主任會簽。
93	0x52D0	144	Authorized Form\rThe form appears to be\rproperly signed and noted. It\rcan be exchanged at the\rEngineering lab on Ooritzam\rfor a ComNav Sq 2345-8.	已核准表單\r表單看來已正確簽署\r並註記。可於 Ooritzam\r的工程實驗室兌換一\r個 ComNav Sq 2345-8。
94	0x5362	92	Mini-Lab Pass\rThis card will allow the\rbearer access to the\rminiaturization lab on\rOoritzam.	迷你實驗室通行證\r此卡允許持有者進入\rOoritzam 的微型化實驗室。
95	0x53C0	158	Generator\rGasoline fueled, this\rgenerator appears to be very,\rvery old. With some\rmaintenance it might be\rcapable of sustaining a small\rstation's power needs.	發電機\r以汽油為燃料，這台\r發電機看來非常非常\r老舊。經過些許維修\r或許還能滿足小型站\r點的電力需求。
96	0x5460	99	Sonic Pincers.\rAn alien analogue to pliers,\rthese sonic pincers appear to\rhave had some rugged use.	聲波鉗\r類似鉗子的異星工具，\r此聲波鉗看來經過粗\r暴使用。
97	0x54C5	291	Blo\rMade of a dark, reedlike\rmaterial, the Blo is a\rmusical instrument\rmanufactured by the Nuskuan\rrace as a morbid amusement.\rAlthough many modern blos are\rmade from plastic,\rtraditional craftsmen still\rmake them from the appendages\rthat the pre-mature Nuskuans\rshed before becoming adults.	布洛笛\r以暗色蘆葦狀材料製\r成，布洛笛是 Nuskuan\r族製造的樂器，作為\r一種病態娛樂。雖然\r現代布洛笛多以塑膠\r製成，傳統工匠仍以\r未成年 Nuskuan 蛻變\r前所脫落的附肢製作。
98	0x55EA	60	Captain's NoteBook\rA notebook that is used for\rtaking notes.	艦長的筆記本\r用來作筆記的本子。
99	0x5628	220	Thermaul\rA special form of shovel, the\rthermaul is made for digging\rthrough hard packed layers of\rice and snow.  Enhanced with\ra heated, vibrating tip, it\ris the single most important\rtool for those living on icy\rworlds.	熱鏟\r一種特殊形式的鏟子，\r熱鏟為挖掘堅實的冰\r雪層而製。配有加熱\r振動的尖端，是冰雪\r世界居民最重要的工\r具。
100	0x5706	125	Algiebian Invite\rThis invitation will admit a\rparty of visitors to the\rinaugural festivities that\rare underway at Algieba IV.	阿吉比安邀請函\r此邀請函可讓一隊訪\r客進入阿吉比安四號\r正在舉行的就職慶典。
101	0x5785	194	Talking Stick\rHollowed from a very large\rlog, the talking stick is a\rceremonial symbol of the\runity of the Henresian\rpeople.  It may be worth a\rreward if it is returned to\rthe Magin on Subra II.	話語杖\r以巨大原木挖空製成，\r話語杖是 Henresian 人團\r結的儀式象徵。若歸還\r給 Subra II 的 Magin，或\r能獲得獎賞。
102	0x5849	161	Alien Meat\rThe pelt of the That Which\rStalks Blood is very rank,\rits fur steeped in a strong\rmusky odor. They Who Converse\rmight take it in exchange for\ra favor.	異星獸肉\r「噬血潛行者」的毛\r皮極其腐臭，毛上浸\r著濃郁的麝香味。「交\r談者」或許願以一份\r人情換取它。
103	0x58EC	64	Trinket\rThis is the alien equivalent\rof cheap, plastic, jewelry.	小飾品\r異星版的廉價塑膠飾品。
104	0x592E	101	Levitator\rA gravitational defeat\rdevice, this levitator can be\rused to move relatively small\robjects.	懸浮器\r一種抗重力裝置，此\r懸浮器可用於移動較\r小型的物體。
105	0x5995	138	Matches\rMuch like the matches found\ron Earth, these matches could\rbe used to start a relatively\rsmall fire if set to a\rflammable material.	火柴\r與地球上的火柴頗為\r相似，這些火柴若接\r觸易燃材料可生起一\r團小火。
106	0x5A21	188	Queen's Standard\rAlthough not used as a\rmilitary banner any longer,\rthe queen's standard was once\rthe battle flag of the Avian\rpeople. It is now the sole\rsymbol of the Queen of the\rAvians.	王后旗幟\r雖然不再作為軍旗使\r用，王后旗幟曾是鳥\r人族的戰旗。現為鳥\r人族王后的唯一象徵。
107	0x5ADF	172	Assassins ID\rThe identification code on\rthe card indicates that the\rbearer was from Algieba. It\rseems to implicate that\rIshtao ordered the\rassassination of princess\rJhenna.	刺客證件\r卡上的識別碼顯示持\r有者來自阿吉比安。\r似乎暗示是 Ishtao 下\r令暗殺 Jhenna 公主。
108	0x5B8D	91	Attagi Com-Code\rThe initialization code for\rthe flight controls of the\rstar cruiser Attagi.	Attagi 通訊碼\r星際巡航艦 Attagi 飛行\r控制的初始化代碼。
109	0x5BEA	130	Eye Glasses\rMade of light wire and finely\rground glass, the eyeglasses\rdon't appear to have been\rmanufactured for a human\rwearer. 	眼鏡\r以輕質金屬絲與精磨\r玻璃製成，這副眼鏡\r看來並非為人類佩戴\r而製。
110	0x5C6E	103	Choasqa Card 1\rThis card is covered with\ralien symbols, utterly\rindecipherable to your\rmamillian brain.	Choasqa 卡 1\r卡上布滿異星符號，\r你的哺乳類大腦完全\r無法解讀。
111	0x5CD7	103	Choasqa Card 2\rThis card is covered with\ralien symbols, utterly\rindecipherable to your\rmamillian brain.	Choasqa 卡 2\r卡上布滿異星符號，\r你的哺乳類大腦完全\r無法解讀。
112	0x5D40	103	Choasqa Card 3\rThis card is covered with\ralien symbols, utterly\rindecipherable to your\rmamillian brain.	Choasqa 卡 3\r卡上布滿異星符號，\r你的哺乳類大腦完全\r無法解讀。
113	0x5DA9	103	Choasqa Card 4\rThis card is covered with\ralien symbols, utterly\rindecipherable to your\rmamillian brain.	Choasqa 卡 4\r卡上布滿異星符號，\r你的哺乳類大腦完全\r無法解讀。
114	0x5E12	103	Choasqa Card 5\rThis card is covered with\ralien symbols, utterly\rindecipherable to your\rmamillian brain.	Choasqa 卡 5\r卡上布滿異星符號，\r你的哺乳類大腦完全\r無法解讀。
115	0x5E7B	182	Gravity Bar\rFor reasons unknowable to\rhumans, algiebans consider\rthis device to be worth\rrisking their wealth over.\rThe only known use of a \rgravity bar is Teletrans\rwave modulation.	重力棒\r基於人類無法理解的\r原因，阿吉比安人視\r此裝置為值得賭上身\r家。重力棒已知唯一\r的用途是跳躍傳送波\r調變。
116	0x5F33	78	Technician's ID\rAn I.D. badge that signifies\ryou as an able bodied\rtechnician.	技師證\r證明你為合格技師的\r身分識別徽章。
117	0x5F83	51	Transformer\rA simple piece of electrical\requipment.	變壓器\r一件簡單的電氣裝備。
118	0x5FB8	122	Spare Parts\rMost of the parts in this box\rare fairly low-tech items.\rSpare parts trade is very\rgood in Sector Kornephoros.	備用零件\r此盒中多數零件為相\r當低科技的物品。庫\r尼弗洛斯星區的備用\r零件交易非常興盛。
119	0x6034	238	Uni-Lock\rA hand held device, the\runi-lock uses a secured\rfrequency to open infrared\rcontrolled locks. Disused in\rmost sections of the galaxy,\rmany traders in Kornephoros\rsector are still forced to\rwork with this outmoded form\rof security.	萬能鎖\r一種手持裝置，萬能\r鎖使用加密頻率開啟\r紅外線控制的鎖。在\r多數星區已停用，但\r庫尼弗洛斯星區的商\r人仍被迫使用這種過\r時的安全形式。
120	0x6124	130	Deed #38466\rSecured by HabStel's legal\ragents, this planetary deed\rtransfers ownership of a\rplanet in Sector Alhena to\rthe bearer.	地契 #38466\r由 HabStel 的法律代理\r人擔保，此行星地契\r將 Alhena 星區一顆行\r星的所有權轉讓給持\r有人。
121	0x61A8	183	Mass Converter\rUsed for the conversion of\rmass to energy, this device\roperates like a large scale\rtele-trans. It is one of the\reight parts required to\rreconstruct the Centauri\rDevice.	質量轉換器\r用於將質量轉換為能\r量，此裝置運作有如\r大型跳躍傳送。為重\r建半人馬裝置所需的\r八件零件之一。
122	0x6261	191	Cyber Credit\rBacked by the Cyber bank on\rShadowside, this credit card\rhas a very low circulation,\rcarried usually by members of\rthe trading underworld.  It\ris commonly used by arms\rmerchants.	數位信用卡\r由 Shadowside 的數位銀\r行擔保，此信用卡流\r通量極低，通常由貿\r易黑社會成員持有。\r常為軍火商使用。
123	0x6322	220	Perfume\rAlthough its scent is very\runpleasant to humans, this\rperfume is very popular with\rmany alien races. Rather than\rusing antiperspirant methods,\rmany aliens simply apply this\rmixture of crushed grubs to\rthemselves.	香水\r雖然氣味對人類極不\r悅人，這款香水在許\r多異星族群中非常受\r歡迎。許多異族不用\r止汗劑，而直接將此\r壓碎幼蟲混合物塗抹\r於身。
124	0x6400	93	10 Credit Card\rThis credit card is only\raccepted on Starport Kochab.\rIt is worth ten credits.	10 點卡\r此信用卡僅 Kochab 太\r空港接受。價值十點。
125	0x645F	183	Lozam Loaf\rGolden and full, the lozam\rloaf is made from a grain\rvery similar to wheat. A\rdesigner food, this strain\rhas great promise to end\rcases of famine in this arm\rof the galaxy.	Lozam 麵包\r金黃飽滿，此 Lozam 麵\r包以類似小麥的穀物\r製成。是一種改造食\r品，此品種有望終結\r此星系臂中的饑荒。
126	0x6518	116	Shroud Admission\rAdmits the bearer and a small\rparty to see the fabled\rShroud of Kriq on display at\rStarport Kochab.	聖紗入場券\r准許持有者及小隊參\r觀 Kochab 太空港展出\r的傳說 Kriq 聖紗。
127	0x658E	104	Music Box\rRemarkably like the music\rboxes on Earth, this\rcuriosity looks as if it may\rhave been damaged.	音樂盒\r與地球上的音樂盒極\r為相似，這件奇物看\r來可能受過損壞。
128	0x65F8	117	Particle Pak\rThis relatively small item is\ractually the ammunition\rsupply for weapons using sub-\ratomic technologies.	粒子包\r這件相對小型的物品\r實為使用次原子技術\r的武器的彈藥補給。
129	0x666F	223	Neutrino Cache\rHeavier than the particle\rpak, the neutrino cache\rcontains neutrinos within a\rvery special field. When used\rwith sub-atomic weapons it\rprovides a hefty ammunition\ras the neutrinos are released\rfrom the field.	微中子彈匣\r比粒子包更重，微中\r子彈匣以特殊力場容\r納微中子。用於次原\r子武器時，微中子從\r力場釋出，提供強勁\r彈藥。
130	0x6750	148	Power Cell\rOne of two types of\rammunition available for\rlaser weapons, a power cell\ris the standard energy supply\rfor general issue energy\rweaponry.	動力電池\r雷射武器可用兩種彈\r藥之一，動力電池是\r一般配發能量武器的\r標準能源。
131	0x67E6	103	Energy Bank\rDesigned specifically for\rassault weapons, this energy\rbank will power heavy energy\rbursts.	能量組\r專為突擊武器設計，\r此能量組可提供重型\r能量爆發所需動力。
132	0x684F	218	Ammo Clip\rNine millimeter shells are\rthe standard load for this\rtype of clip, made\rspecifically to feed the\rBeretta 2043-UFS pistol. A\rsmall adjustment slide on the\rback allows for it to use\rother sizes as need arises.	彈匣\r九毫米彈為此型彈匣\r的標準裝填，專為貝\r瑞塔 2043-UFS 手槍供\r彈而製。背面的小調\r節滑桿可在需要時切\r換為其他口徑。
133	0x692B	140	Heavy Magazine\rDesigned to hold explosive\rtipped loads, the heavy\rmagazine can be used with a\rvariety of different\rprojectile based weapons.	重型彈匣\r為裝填爆破彈頭而設\r計，重型彈匣可用於\r多種不同的投射武器。
134	0x69B9	135	First Aid Pak\rMade to deal with minor\rwounds only, the first aid\rpak is an invaluable aid to\ranyone venturing in dangerous\rterritories.	急救包\r僅供處理輕微傷口，\r急救包對任何冒險進\r入危險地區的人都是\r無價的助手。
135	0x6A42	273	Trauma Kit\rEquipped with basic first aid\raccessories, this kit is also\renhanced with a small\rcellular regeneration kit.\rAlthough it rapidly depletes\rits energy supply, this item\rcan bring an injured person\rback to complete health if\rthe victim still has minimal\rlife signs.	創傷急救包\r配備基本急救工具，\r此包還加裝小型細胞\r再生套件。雖會迅速\r耗盡能源，但若傷者\r尚有最低生命跡象，\r此物品能讓人恢復到\r完全健康狀態。
136	0x6B55	423	Shroud of Kriq\rSeized by a cult of religious\rzealots during the great\runrest that was typical of\rthe first years of Sector\rKornephoros, the Shroud of\rKriq is actually a very\rsophisticated piece of\rmedical equipment.  Knitted\rinto this fine net of\rmaterial is a high-tech\rcellular regenerator coupled\rwith an intense biofield\rgenerator. When used, it can\rbring the dead back to life,\rbut its charges are\rstartlingly limited.	Kriq 聖紗\r在庫尼弗洛斯星區初\r期典型大動亂中被宗\r教狂熱教團奪走，Kriq\r聖紗實為極精密的醫\r療裝備。在這片細密\r網狀材料中編織有高\r科技細胞再生器，並\r搭配強力生物場產生\r器。使用時可使死者\r復活，但其充能次數\r少得驚人。
137	0x6CFE	117	Ulfas Cloth\rVery highly valued, this\rcloth is very highly prized,\respecially by traders dealing\rin colonial supplies.	Ulfas 布料\r此布料極為珍貴，深\r受處理殖民物資的商\r人重視。
138	0x6D75	129	Video Reader\rA small hand held device, it\ris used to scan video\rrecorded documents.  This\rparticular model seems to be\rdefective.	影像讀取器\r小型手持裝置，用以\r掃描影像記錄文件。\r這一款看來有些問題。
139	0x6DF8	139	Sonrai Sticks\rNo one is quite certain what\rare done with these strange\rsticks, but the Chytti will\roften pay great sums for\rtheir purchase.	Sonrai 棒\r沒人確切知道這些怪\r棒能做什麼用，但\rChytti 人常願出鉅資\r購買。
140	0x6E85	108	Gallery Admission\rThis ticket will allow a\rparty of visitors to enter\rthe Life Gallery Zoo in\rSector Caroli.	展覽入場券\r此入場券允許一隊訪\r客進入 Caroli 星區的\r生命展覽動物園。
141	0x6EF3	220	Slieth Egg\rAn endangered species, the\rSlieth are now under the\rEndangered Species Act of\r2031. The largest collection\rof Slieth and Slieth eggs\routside of their native\renvironment is in the Life\rGallery in Sector Caroli.	Slieth 蛋\r一種瀕危物種，Slieth\r現受 2031 年瀕危物種\r法保護。其原生環境\r以外最大的 Slieth 與\rSlieth 蛋蒐藏位於 Caroli\r星區的生命展覽館。
142	0x6FD1	230	Caged Nochh\rNoted for their savage\rnature, Nochh are becoming\rincreasingly rare in natural\renvironments. This caged\rcreature would probably have\rthe best chance of survival\rif left in the care of the\rLife Gallery in Sector\rCaroli.	籠中 Nochh\r以兇猛聞名，Nochh 在\r自然環境中日漸稀少。\r若把這隻籠中生物交\r給 Caroli 星區的生命\r展覽館照顧，存活機\r會最大。
143	0x70B9	36	Eldarin Book\rA book of alien origin.	Eldarin 之書\r異星起源之書。
144	0x70DF	35	Chytti Book\rA book of alien origin.	Chytti 之書\r異星起源之書。
145	0x7104	257	Decorative Orb\rOn Denebola IV, a number of\rthese orbs were ordered for\rthe decoration of the\rexterior courtyard of their\rsacred temple. Although most\rhad no function other than to\rlook attractive, some were\rplaced on pedestals in order\rto open secret doors.	裝飾寶珠\r在 Denebola IV，一批這\r樣的寶珠是為裝飾其\r神殿外院而訂製。雖\r然多數除了好看外無\r其他功能，但有些放\r在基座上是用來開啟\r密門。
146	0x7207	204	Tractor Part\rThis grease covered\rcontraption is actually a\rvery important part in the\roperation of hydrogen\rperoxide engines. It is\rtypically found in tractors\rand harvesters like those\rfound on Alula IV.	拖拉機零件\r這沾滿油脂的玩意兒\r其實是過氧化氫引擎\r運作的關鍵零件。常\r見於 Alula IV 上的拖\r拉機與收割機。
147	0x72D5	131	Eldarin Pot\rPainted with bright reds and\ryellows, this pot appears to\rbe painted with the\rtraditional logos of the\rancient Eldarin.	Eldarin 陶罐\r漆上鮮紅與亮黃色，\r此罐似乎繪有古代\rEldarin 的傳統徽記。
148	0x735A	109	Ordinary Key\rRusty and brown, this\rextraordinarily large key\rlooks like it was made to fit\ran old style lock.	普通鑰匙\r鏽蝕泛褐，這把異常\r大的鑰匙看似為配合\r舊式鎖具而製。
149	0x73C9	262	*Technical Plans*\rBlueprints, documentations\rand mathematical formulae are\rscrawled on every page on\rthese technical plans. If\rreturned to Moonbase, they\rmay have valuable technical\rinformation that will allow\rthem to upgrade your ship\rconstruction and weaponry.	*技術圖紙*\r每頁都潦草寫著藍圖、\r文件與數學公式。若\r帶回月球基地，當中\r可能含有寶貴的技術\r資訊，足以讓他們升\r級你的船艦建造與武\r器系統。
150	0x74D1	108	Fire Extinguisher\rThis device can be used to\rsnuff out flames that can\rblock or injure contact team\rmembers.	滅火器\r此裝置可撲滅可能阻\r擋或傷害接觸小組成\r員的火焰。
151	0x753F	230	Delta Driver\rOne of a set of three highly\rspecialized tools, the Delta\rDriver is a military device\rused in the deactivation of a\rDhoven Proximity Bomb.  When\rused in combination with its\rtwo companion tools it is\rvery safe to use.	三角螺絲起子\r三件高度專業工具組\r之一，三角螺絲起子\r是用於拆除 Dhoven 近\r接炸彈的軍用裝置。\r配合另外兩件工具使\r用時十分安全。
152	0x7627	140	Mirror Shard\rMade from a section of plate\rglass and backed with silver,\rthis shard looks like it has\rbeen broken off a larger\rvanity mirror.	鏡子碎片\r以一塊平板玻璃製成\r並鍍銀，此碎片看似\r從更大的化妝鏡上斷\r落而來。
153	0x76B5	255	Flight Recorder\rTaking the familiar form of\ralien black box technology,\rthis flight recorder will\rhave the travel record of the\rCebis Alban recorded in its\rtape loops. Generally\rstarpilots are the only ones\rcapable of interpreting the\rinformation on them.	飛行記錄器\r採異星黑盒技術中熟\r悉的型態，此飛行記\r錄器的磁帶迴圈中應\r記錄著 Cebis Alban 號\r的航行記錄。通常只\r有星際領航員能解讀\r其中的資訊。
154	0x77B6	230	Alien Medipak\rDue to the nature of the\rmaterials included in this\rmedical pack, it would be\rhighly inadvisable to\radminister these materials on\ra human being.  The markings\ron the package denote it as\rbeing intended for Cebesians.	異星醫療包\r鑒於此醫療包所含物\r質的性質，極不建議\r將其用於人類。包裝\r上的標示顯示此物為\rCebesians 族所用。
155	0x789E	148	Mini Aid Paks\rAlthough most of the medical\rsupplies in this pack are\rincompatible with human\rbiology, some of them should\rwork if correctly applied.	迷你急救包\r雖然此包內多數醫療\r用品與人類生理不相\r容，但有些若正確使\r用應仍有效。
156	0x7934	95	Alien Doll\rThis object is an alien\rplaything, designed in all\rprobability for a young\rCebesian.	異星娃娃\r此物為異星玩物，極\r可能是為幼小的\rCebesian 設計。
157	0x7995	228	Leader's Stone\rThe dark blue stone inset in\rthis piece of jewelry is the\rtraditional symbol of the\rleader of the Cebesians.\rAlthough it has little\rmonetary value, those who\rwear it are treated with\rutmost respect by other\rraces.	領袖之石\r此飾品上鑲嵌的深藍\r色寶石是 Cebesians 領袖\r的傳統象徵。雖無多\r少貨幣價值，但佩戴\r者會受到其他族群最\r崇高的敬意。
158	0x7A7B	197	Android Tool\rIf used on a damaged android,\rthis remote control can dump\rthe android's last thoughts\rin audio form. This tool is\rvery useful when information\ris needed from heavily\rdamaged androids.	人造人工具\r若用於受損的人造人，\r此遙控器可將該人造\r人最後的思緒以音訊\r形式輸出。當需從嚴\r重損壞的人造人身上\r取得情報時極為實用。
159	0x7B42	79	Harvest Key\rThis pass key will unlock the\rdoor to the Control Deck on\rAlula IV.	豐收鑰匙\r此通行鑰匙可開啟\rAlula IV 控制甲板的門。
160	0x7B93	132	Sack Of Lozam\rHeavier than it looks, this\rsack of lozam is streaked\rwith brownish slicks of\rlubricant created by leaky\rmechgrippers.	一袋 Lozam\r比看起來還重，這袋\rlozam 上沾著漏油機械\r爪留下的褐色潤滑油\r痕跡。
161	0x7C19	80	Stone\rA fairly common kind of\rstone, this rock is for the\rmost part featureless.	石頭\r相當常見的石頭，這\r塊石頭大致毫無特徵。
162	0x7C6B	142	Ysaf Note\rScrawled hastily in the hand\rof the chief controller on\rAlula IV,this note is\rintended for the Eldarin\rleader, Ysaf, on Denebola IV.	Ysaf 字條\r由 Alula IV 的首席管制\r員匆匆潦草寫下，此字\r條是寫給 Denebola IV 的\rEldarin 領袖 Ysaf。
163	0x7CFB	155	Dhoven Deed\rThis deed has been heavily\rencrypted by a Dhoven legate\rbut does not bear the proper\rfinal seal of approval by the\rSecretary of Sector Affairs.	Dhoven 地契\r此地契已由 Dhoven 特\r使重度加密，但未蓋\r星區事務秘書長的最\r終核准印章。
164	0x7D98	165	Numismat Deed\rThis deed, heavily encrypted\rby a Dhoven legate, appears\rto be in order. It bears a\rmark that urges immediate\rdelivery to the Dhoven\rStation at Hyades.	Numismat 地契\r此地契經 Dhoven 特使\r重度加密，看來合規。\r上面有一個標記，敦\r促立刻送往 Hyades 的\rDhoven 站點。
165	0x7E3F	210	Krupp Shields\rMade of a superdense\rmaterial, the Krupp Shields\rwill prevent radiation leaks\rthat are common with large\rscale engines. It will be\rneeded at Moonbase for the\rreconstruction of the\rCentauri Device.	克魯伯護盾\r由超高密度材料製成，\r克魯伯護盾可防止大\r型引擎常見的輻射洩\r漏。月球基地將需要\r它來重建半人馬裝置。
166	0x7F13	137	Planet Deed\rThe deed, though properly\rprocessed, is utterly\rworthless.  It is a deed for\ra dead and mineral poor\rplanet in Sector Alhena.	行星地契\r此地契雖手續正確，\r卻完全無價值。是\rAlhena 星區中一顆死\r寂且礦藏匱乏行星的\r地契。
167	0x7F9E	233	Fixit Kit\rA Packet of tech tools\rdesigned to repair armor that\rhas been damaged in the\rcourse of duty. The\rcomplexity of the tools would\rsuggest that a character with\ra higher Item Repair ability\rwill get better results from\rthe kit.	修補工具包\r一組科技工具，專為\r修復任務中受損的護\r甲而設計。工具的複\r雜性顯示道具修復能\r力較高的角色能從此\r組得到更好的效果。
168	0x8089	129	Cyber Boots\rA combination of gravitic and\rrobotic technology, the cyber\rboots permit their wearer to\rjump twice as far as before.	數位靴\r結合重力與機器人技\r術，數位靴允許穿戴\r者跳得比原本遠兩倍。
